"","fipscode","state","county","population","unemployment","income.ineq","housing.severe","violent.crime","overcrowding","high.school.grad","college","food.env.index","food.insecurity","healthy.foods","social.assoc","english.notprof","pcp","mhp","flu.vaccine","poor.physical.health","poor.mental.health","obesity","prevent.hosp.stays","life.expectancy","diabetes","hiv"
"1",0,"US","United States",325719178,0.0435556876,4.9414857531,0.1837308951,38.646489648,NA,0.846,0.6522563975,7.7,0.129,0.0590124246,9.3003532014,0.0445539242,7.54309,22.868902,NA,NA,NA,0.285,NA,79.063850411,0.102,36.23
"2",1000,"AL","Alabama",4874747,0.0439678517,5.238579235,0.1491215019,47.991918191,NA,0.893,0.5986474992,5.8,0.165,0.0792142495,12.242715851,0.0107484565,6.53877,9.050726,0.42,4.4004575204,4.577366748,0.351,0.5496,75.41303499,0.139,30.24
"3",1001,"AL","Autauga",55504,0.0386352233,4.6366638778,0.1495464575,27.228222006,0.0245158127,0.9,0.6085466499,7.2,0.134,0.11991125,12.631730908,0.0082854831,4.150426,1.621505,0.41,4.2005779826,4.3067392835,0.375,0.6599,76.330589011,0.142,22.55
"4",1003,"AL","Baldwin",212628,0.0398833641,4.5185596041,0.1383172525,20.366039629,0.0107280211,0.863615768,0.6613392634,8,0.123,0.054244266,10.692212904,0.0045451229,7.287966,9.123916,0.45,4.0987477691,4.2496487805,0.31,0.3833,78.599497656,0.113,16.39
"5",1005,"AL","Barbour",25270,0.0590092278,5.7550626063,0.1545553145,41.427786068,0.0200650759,0.8141025641,0.3677400805,5.6,0.232,0.1073966657,8.4729443482,0.0119927317,3.851338,0.791452,0.37,5.0674383044,4.634994147,0.443,0.4736,75.77945737,0.18,43.6
"6",1007,"AL","Bibb",22668,0.043851399,4.2545944386,0.1096085409,8.9349125982,0.0019928826,0.8376383764,0.4840631037,7.6,0.158,0.0260162701,10.15766462,0.0039434768,5.741289,0.882301,0.39,4.3633772783,4.3157100192,0.378,0.5998,73.928271076,0.149,19.19
"7",1009,"AL","Blount",58013,0.0402139299,4.1268834637,0.1040115301,48.269061089,0.0172471775,0.9346879536,0.5441399754,8.5,0.11,0.0288014982,9.0115070012,0.0187000425,2.252877,1.034251,0.38,4.5127526482,4.7015992588,0.344,0.4162,74.597766875,0.143,9.54
"8",1011,"AL","Bullock",10309,0.0492518703,6.5995234786,0.2075983718,31.10273327,0.023880597,0.7024793388,0.3362068966,4.2,0.26,0.1974335074,9.6506465933,0.0110469241,2.895194,0.970026,0.26,5.2266193898,4.7919184772,0.394,0.6767,73.117530117,0.2,69.13
"9",1013,"AL","Butler",19825,0.0548848647,5.1227855834,0.1378026071,58.158400519,0.0167597765,0.8158995816,0.3844417077,6.5,0.217,0.0292612193,11.501150115,0.0071270193,3.0003,3.530895,0.35,5.1174326174,5.1345730819,0.402,0.7962,73.505385022,0.179,26.84
"10",1015,"AL","Calhoun",114728,0.0493396516,4.9838135691,0.1453881076,75.606654427,0.0147270513,0.9236804565,0.5752221569,6.9,0.167,0.0917856658,14.309272234,0.0088096833,6.456623,9.849383,0.38,4.2904480661,4.4765721664,0.371,0.645,73.102947697,0.162,21.12
"11",1017,"AL","Chambers",33713,0.0407880865,4.7392343032,0.1606819006,52.899973623,0.0343852013,0.8623853211,0.4713993871,6.3,0.195,0.1032855828,17.728924741,0.0015389447,5.023195,0.593243,0.43,5.0370446678,4.9326462099,0.403,0.5511,74.122277638,0.17,36.69
"12",1019,"AL","Cherokee",25857,0.0405405405,4.7860693573,0.1546985816,33.043879198,0.0217198582,0.949044586,0.5006360167,8.5,0.125,0.002211124,10.106899903,0.0009722504,3.498542,1.933712,0.43,4.2779170785,4.6812529447,0.363,0.6577,74.346572288,0.135,9.01
"13",1021,"AL","Chilton",44067,0.0404854064,4.9695319741,0.1305820758,50.781072095,0.0304896828,0.8820598007,0.3879891447,8.1,0.136,0.0146053096,16.385607974,0.0225325294,1.820623,4.084689,0.4,4.7362771144,4.6255724065,0.353,0.3791,74.192630442,0.147,9.95
"14",1023,"AL","Choctaw",12945,0.0638837638,5.7710777838,0.133632287,12.841466262,0.0139910314,0.7863247863,0.5525179856,6.4,0.205,0.0729041905,20.780420226,0,3.848226,NA,0.36,4.7381487719,4.7562769582,0.413,0.4778,74.284126121,0.162,22.03
"15",1025,"AL","Clarke",24083,0.0848445596,8.1651173934,0.1268191268,47.531243598,0.0097713098,0.9090909091,0.3866786679,5.4,0.241,0.111547123,18.448671696,0.0019777291,5.739587,6.643691,0.29,5.0341224717,4.8038714851,0.396,0.5857,75.893743647,0.185,16.2
